aktuelBasinc,denizSicaklik,denizeIndirgenmisBasinc,gorus,hadiseKodu,istNo,kapalilik,karYukseklik,nem,rasatMetar,rasatSinoptik,rasatTaf,ruzgarHiz,ruzgarYon,sicaklik,veriZamani,yagis00Now,yagis10Dk,yagis12Saat,yagis1Saat,yagis24Saat,yagis6Saat,denizVeriZamani
897.1,-9999,1006.8,20000,AB,17190,2,-9999,54,-9999,-9999,-9999,3.9600000000000004,303,22.3,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
903.6,-9999,1006.4,20160,CB,17192,-9999,-9999,49,-9999,-9999,-9999,7.5600000000000005,17,23.2,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
874,-9999,1006.2,-9999,A,17193,-9999,-9999,60,-9999,-9999,-9999,3.6,160,20,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
889.6,-9999,1004.7,40740,A,17196,-9999,-9999,60,-9999,-9999,-9999,0,0,20.9,2024-07-17T22:48:00.000Z,0.1,0,0.1,0,0.1,0.1,2024-07-17T22:48:00.000Z
901.8,-9999,1001.2,-9999,CB,17199,-9999,-9999,48,-9999,-9999,-9999,5.760000000000001,197,25.6,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T22:48:00.000Z
897.3,-9999,1000.1,47530,CB,17201,-9999,-9999,46,-9999,-9999,-9999,4.32,347,24.1,2024-07-17T22:49:00.000Z,0,0,0,0,0,0,2024-07-17T22:49:00.000Z
882.1,-9999,999.9,-9999,CB,17203,-9999,-9999,42,-9999,-9999,-9999,1.8,265,24.5,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
865.1,-9999,1000.8,46990,CB,17204,-9999,-9999,47,-9999,-9999,-9999,1.8,231,22.7,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
818.8,-9999,998.2,36540,A,17208,-9999,-9999,46,-9999,-9999,-9999,0,0,19.7,2024-07-17T22:49:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
905.4,-9999,998.3,40820,A,17210,-9999,-9999,27,-9999,-9999,-9999,3.24,101,28.4,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
1004.6,28.4,1007.1,20000,A,17220,0,-9999,38,-9999,-9999,-9999,4.32,181,31.2,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
1000.4,-9999,1006.5,31760,A,17234,-9999,-9999,48,-9999,-9999,-9999,2.16,88,29.2,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
960.6,-9999,1006.3,20000,A,17237,0,-9999,42,-9999,-9999,-9999,3.24,286,29.7,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
903.2,-9999,1003.4,-9999,A,17238,-9999,-9999,44,-9999,-9999,-9999,2.8800000000000003,84,24.3,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
900.5,-9999,1004.9,20000,A,17240,0,-9999,56,-9999,-9999,-9999,1.4400000000000002,63,24.6,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
897.5,-9999,1006.5,-9999,A,17245,-9999,-9999,51,-9999,-9999,-9999,1.8,230,22.5,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T22:48:00.000Z
897.6,-9999,1004.8,20000,CB,17246,5,-9999,56,-9999,-9999,-9999,5.4,249,23,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
877.8,-9999,1004.2,15180,A,17250,-9999,-9999,57,-9999,-9999,-9999,3.6,25,20.5,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
940.2,-9999,1001.7,-9999,A,17255,-9999,-9999,65,-9999,-9999,-9999,8.64,28,26.8,2024-07-17T22:49:00.000Z,0,0,0,0,0,0,2024-07-17T22:49:00.000Z
910.3,-9999,999.9,18630,A,17261,-9999,-9999,44,-9999,-9999,-9999,1.4400000000000002,287,27.8,2024-07-17T22:49:00.000Z,0,0,0,0,0,0,2024-07-17T22:49:00.000Z
932.8,-9999,1001.2,29430,A,17262,-9999,-9999,67,-9999,-9999,-9999,15.48,284,26.4,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
929,-9999,999.4,35450,CB,17265,-9999,-9999,30,-9999,-9999,-9999,6.12,291,31.3,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
940.7,-9999,998.8,-9999,A,17270,-9999,-9999,39,-9999,-9999,-9999,10.8,263,31.3,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
890.9,-9999,998.5,16320,A,17275,-9999,-9999,23,-9999,-9999,-9999,4.32,19,29.5,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
927,-9999,998.6,-9999,CB,17281,-9999,-9999,33,-9999,-9999,-9999,3.6,321,30.3,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T22:48:00.000Z
934.4,-9999,998.5,43180,A,17282,-9999,-9999,38,-9999,-9999,-9999,3.6,57,24,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
824.2,-9999,996.5,38080,CB,17285,-9999,-9999,31,-9999,-9999,-9999,3.6,340,23.6,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
869,-9999,1000,-9999,A,17287,-9999,-9999,21,-9999,-9999,-9999,0.7200000000000001,329,27.2,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
935.3,-9999,1004.7,37950,A,17292,-9999,-9999,67,-9999,-9999,-9999,0,0,23.4,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
999.7,30,1004.9,20000,A,17302,0,-9999,82,-9999,-9999,-9999,0,0,28.2,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
1005,30,1005.7,20000,CB,17340,5,-9999,84,-9999,-9999,-9999,2.8800000000000003,181,29.8,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
994.7,-9999,1005.1,17410,CB,17355,-9999,-9999,89,-9999,-9999,-9999,4.32,310,27.6,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
987,-9999,1004.5,-9999,A,17372,-9999,-9999,84,-9999,-9999,-9999,11.879999999999999,182,26.6,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T22:48:00.000Z
997.6,-9999,1009.8,-9999,A,18433,-9999,-9999,52,-9999,-9999,-9999,15.840000000000002,320,27.4,2024-07-17T22:49:00.000Z,0,0,0,0,0,0,2024-07-17T22:49:00.000Z
-9999,-9999,-9999,16,CB,19272,-9999,-9999,100,-9999,-9999,-9999,3.24,136,27.9,2024-07-17T22:48:00.000Z,0,0,0,0,0,0,2024-07-17T22:48:00.000Z
